Rank	Team	run_ID	Baseline	ID errors	Avg.MAP(en,es)	MAP(en-en)	MRR(en-en)	NDCG(en-en)	P@5(en-en)	P@10(en-en)	P@100(en-en)	MAP(es-es)	MRR(es-es)	NDCG(es-es)	P@5(es-es)	P@10(es-es)	P@100(es-es)	MAP(en-es)	MRR(en-es)	NDCG(en-es)	P@5(en-es)	P@10(en-es)	P@100(en-es)	MAP_male(es-es)	MAP_female(es-es)	MAP_neutral(es-es)	MAP_gender(es-es)	RBO(es-es)	MAP_male(en-es)	MAP_female(en-es)	MAP_neutral(en-es)	MAP_gender(en-es)	RBO(en-es)	RBO(en-en)	Avg.RBO	Representation type	Methodology	System details	LLM usage	Bias mitigation	External data	Models	Pipeline	Representation	LLM strategy	Fine-tuned	Uses external data	Bias handling
11	bipboopbipboop	709829	no	no	0.6348	0.6263	0.8968	0.854	0.81	0.7125	0.2355	0.6434	0.8734	0.8603	0.835	0.7475	0.2415	0.6325	0.9201	0.8617	0.835	0.7325	0.2335	0.6421	0.6629		0.6525	0.8802	0.6442	0.6391		0.6417	0.8533	0.8673	0.8669	Encoder; Decoder	Retrieval; Reranking	Geometric-mean fusion; Cosine similarity Loss; LoRA	Prompt engineering; LLM-as-a-judge; Pointwise reranking; Tournament listwise reranker		No	Qwen3-Reranker-8B; Qwen3-235B; BGE-LoRA; MiniLM	Retrieval+Reranking	Dense+Generative	Reranking + augmentation	Yes	No	No
12	ui-nlp	715491	no	no	0.6264	0.6327	0.9043	0.8527	0.775	0.72	0.2385	0.6202	0.8739	0.8414	0.775	0.7125	0.238	0.5995	0.847	0.8295	0.765	0.685	0.2303	0.6301	0.6352		0.6327	0.8291	0.6196	0.6014		0.6105	0.7789	0.8251	0.8110	Encoder; Lexical	Retrieval; Reranking	Rank Fusion			No	multilingual-e5-large-instruct; bge-large-en-v1.5; BM25; ms-marco-MiniLM-L12-v2 cross-encoder	Retrieval+Reranking	Dense+Lexical	None	No	No	No
13	QTPride	696943	no	no	0.6255	0.6236	0.8675	0.8466	0.795	0.72	0.2345	0.6274	0.8303	0.8422	0.77	0.72	0.235	0.5894	0.8448	0.8232	0.735	0.6775	0.231	0.6372	0.6331		0.6351	0.8662	0.6131	0.5898		0.6014	0.7701	0.8273	0.8212	Encoder	Retrieval	RRF; Relational Graph Convolutional Network; KG-enhanced retrieval	LLM entity extraction		No	multilingual-e5-large-instruct	Retrieval	Dense	Augmentation	No	No	No
14	CYUT	702458	no	no	0.6093	0.5974	0.817	0.8238	0.7	0.6575	0.24	0.6213	0.8591	0.8435	0.785	0.7225	0.2377							0.629	0.6305		0.6298	0.8795						0.8528		Encoder; Decoder; Lexical	Retrieval; Reranking	Weighted RRF	Hypothetical Document Embeddings Query Expansion; Prompt engineering; Listwise reranking		Yes	bge-m3; Gemma-3-27B; BM25	Retrieval+Reranking	Dense+Lexical+Generative	Reranking + augmentation	No	Yes	No
15	CYUT	702388	no	no	0.6093	0.5974	0.817	0.8238	0.7	0.6575	0.24	0.6213	0.8591	0.8435	0.785	0.7225	0.2377	0.5851	0.8182	0.8211	0.68	0.6575	0.2395	0.629	0.6305		0.6298	0.8795	0.5938	0.6067		0.6003	0.8421	0.8528	0.8581	Encoder; Decoder; Lexical	Retrieval; Reranking	Weighted RRF	Hypothetical Document Embeddings Query Expansion; Prompt engineering; Listwise reranking		Yes	bge-m3; Gemma-3-27B; BM25	Retrieval+Reranking	Dense+Lexical+Generative	Reranking + augmentation	No	Yes	No
16	CYUT	715707	no	no	0.6057	0.5902	0.7626	0.8133	0.68	0.6575	0.24	0.6213	0.8591	0.8435	0.785	0.7225	0.2377	0.5356	0.7351	0.787	0.65	0.6125	0.2293	0.629	0.6305		0.6298	0.8795	0.5473	0.5538		0.5506	0.8231	0.8520	0.8515	Encoder; Decoder; Lexical	Retrieval; Reranking	Weighted RRF	Hypothetical Document Embeddings Query Expansion; Prompt engineering; Listwise reranking		Yes	bge-m3; Gemma-3-27B; BM25	Retrieval+Reranking	Dense+Lexical+Generative	Reranking + augmentation	No	Yes	No
17	DevoMatcher	999999	no	no	0.5989	0.5966	0.8062	0.8251	0.73	0.69	0.2313	0.6012	0.9129	0.8456	0.78	0.7275	0.2245	0.5293	0.763	0.7858	0.69	0.6475	0.2135	0.6071	0.6101		0.6086	0.9114	0.5395	0.5433		0.5414	0.8667	0.9492	0.9091	Encoder; Decoder; Lexical	Retrieval; Reranking	ESCO graph calibration score; Weighted RRF	Listwise reranking	Demographic Masking	No	BM25; BGE-M3; SkillMatch MPNet; OpenAI GPT-5.2	Retrieval+Reranking	Dense+Lexical+Generative	Reranking	No	No	Demographic Masking
18	DevoMatcher	708398	no	no	0.5762	0.5877	0.8101	0.8217	0.725	0.6975	0.2313	0.5647	0.8932	0.8274	0.755	0.6975	0.2245	0.4864	0.765	0.767	0.64	0.5725	0.2135	0.564	0.5834		0.5737	0.9082	0.4953	0.5021		0.4987	0.8629	0.9488	0.9066	Encoder; Decoder; Lexical	Retrieval; Reranking	ESCO graph calibration score; Weighted RRF	Listwise reranking	Demographic Masking	No	BM25; BGE-M3; SkillMatch MPNet; OpenAI GPT-5.2	Retrieval+Reranking	Dense+Lexical+Generative	Reranking	No	No	Demographic Masking
19	CYUT	715170	no	no	0.5693	0.5915	0.7461	0.8128	0.68	0.66	0.2407	0.5471	0.5739	0.7761	0.58	0.61	0.2385	0.5617	0.7894	0.8067	0.69	0.6525	0.2293	0.5576	0.5731		0.5653	0.8569	0.572	0.5725		0.5722	0.8233	0.8408	0.8403	Encoder; Decoder; Lexical	Retrieval; Reranking	Weighted RRF	Hypothetical Document Embeddings Query Expansion; Prompt engineering; Listwise reranking		Yes	bge-m3; Gemma-3-27B; BM25	Retrieval+Reranking	Dense+Lexical+Generative	Reranking + augmentation	No	Yes	No
20	HR_NLP	715595	no	no	0.5605	0.554	0.7417	0.7875	0.625	0.585	0.236	0.5669	0.815	0.8031	0.66	0.6325	0.237	0.5518	0.7315	0.7816	0.615	0.5925	0.2337	0.5727	0.5775		0.5751	0.9538	0.5637	0.5586		0.5611	0.9466	0.9558	0.9521	Encoder	Retrieval	Triplet margin loss; Teacher-student Knowledge distillation; Student Contrastive Loss			Yes	JobBERT; JobBERT-v3; RoBERTa	Retrieval	Dense	None	Yes	Yes	No
